,Loyalty_Number,Country,Province,City,Postal_Code,Gender,Education,Salary,Marital_Status,Loyalty_Card,CLV,Enrollment_Type,Enrollment_Year,Enrollment_Month,Cancellation_Year,Cancellation_Month
3957,237107,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,81353.0,Married,Aurora,24826.89,Standard,2016,6,2017.0,2.0
3959,448751,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,96623.0,Single,Aurora,24980.23,Standard,2014,8,2015.0,4.0
3962,733467,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,58255.0,Married,Aurora,25093.57,Standard,2015,11,2016.0,7.0
3971,196757,Canada,Ontario,Trenton,K8V 4B2,Male,High School or Below,48025.0,Married,Aurora,25626.71,Standard,2015,9,2016.0,2.0
3975,219270,Canada,Ontario,Toronto,M2P 4F6,Male,Bachelor,84015.0,Married,Aurora,25807.06,Standard,2017,11,2018.0,7.0
3977,529544,Canada,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,84015.0,Married,Aurora,25807.06,Standard,2017,12,2018.0,8.0
3985,841324,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,154475.0,Married,Aurora,26197.41,Standard,2016,6,2016.0,10.0
3986,699281,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,82037.0,Married,Aurora,26200.83,Standard,2017,5,2018.0,1.0
4002,833148,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,48704.0,Single,Aurora,27069.5,Standard,2016,5,2017.0,8.0
4003,915009,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Aurora,27287.5,Standard,2013,7,2014.0,6.0
4004,375467,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,65181.0,Married,Aurora,27382.82,Standard,2013,11,2014.0,4.0
4008,206050,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,59663.0,Married,Aurora,27495.42,Standard,2016,8,2017.0,3.0
4014,750153,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,56644.0,Divorced,Aurora,27789.69,Standard,2014,12,2015.0,8.0
4020,813352,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,60278.0,Married,Aurora,28393.33,Standard,2014,4,2014.0,12.0
4024,191626,Canada,Ontario,Toronto,M8Y 4K8,Female,Bachelor,99133.0,Single,Aurora,28486.07,Standard,2018,1,2018.0,10.0
4029,960959,Canada,Quebec,Hull,J8Y 3Z5,Female,College,,Single,Aurora,28824.06,Standard,2015,11,2016.0,7.0
4038,167491,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,70434.0,Single,Aurora,29874.74,Standard,2013,1,2013.0,9.0
4048,904397,Canada,Ontario,Trenton,K8V 4B2,Male,Doctor,243236.0,Married,Aurora,30850.59,Standard,2017,4,2018.0,5.0
4055,562510,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,74745.0,Married,Aurora,31920.77,Standard,2017,1,2017.0,8.0
4057,483274,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,65078.0,Married,Aurora,32227.08,Standard,2015,1,2016.0,9.0
4061,961440,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,64962.0,Married,Aurora,32613.69,Standard,2013,2,2015.0,1.0
4064,300460,Canada,Saskatchewan,Regina,S1J 3C5,Female,Bachelor,61099.0,Married,Aurora,32725.3,Standard,2018,1,2018.0,9.0
4102,647658,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,100159.0,Married,Star,3861.49,2018 Promotion,2018,2,2018.0,10.0
4106,675419,Canada,Ontario,Toronto,M2Z 4K1,Female,College,,Single,Aurora,39400.19,Standard,2013,7,2014.0,3.0
4113,248497,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,78464.0,Married,Aurora,41143.09,Standard,2013,9,2014.0,3.0
4138,529331,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,78033.0,Married,Aurora,49221.43,Standard,2013,5,2015.0,12.0
4152,767366,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,60845.0,Married,Aurora,73225.96,Standard,2017,3,2017.0,11.0
4156,551533,Canada,Manitoba,Winnipeg,R3R 3T4,Male,Bachelor,55642.0,Married,Nova,2742.8,Standard,2014,10,2014.0,11.0
4163,994044,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,101166.0,Divorced,Nova,2744.52,Standard,2016,8,2018.0,6.0
4171,804816,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,77496.0,Single,Nova,2746.92,Standard,2013,4,2017.0,8.0
4177,741848,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,55642.0,Married,Nova,2748.85,Standard,2013,2,2015.0,4.0
4181,751270,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,84187.0,Single,Nova,2749.41,Standard,2016,5,2017.0,1.0
4182,602384,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,56932.0,Divorced,Nova,2750.54,Standard,2017,8,2018.0,4.0
4191,890232,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,53045.0,Single,Nova,2753.31,Standard,2017,5,2018.0,1.0
4192,559619,Canada,Quebec,Montreal,H2T 2J6,Female,College,,Married,Nova,2753.78,Standard,2016,5,2017.0,1.0
4193,627869,Canada,British Columbia,Victoria,V10 6T5,Female,College,,Married,Nova,2753.78,Standard,2013,1,2016.0,1.0
4196,985427,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,90086.0,Married,Nova,2754.46,Standard,2016,9,2017.0,1.0
4208,397891,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,99444.0,Married,Nova,2759.98,Standard,2015,6,2016.0,8.0
4231,122206,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,68546.0,Single,Nova,2771.05,Standard,2014,10,2015.0,6.0
4244,612370,Canada,New Brunswick,Moncton,E1A 2A7,Female,College,,Divorced,Nova,2774.8,Standard,2015,12,2016.0,9.0
4251,435883,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,54512.0,Divorced,Nova,2776.75,Standard,2015,5,2016.0,1.0
4255,684296,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,75171.0,Married,Nova,2777.53,Standard,2013,12,2016.0,12.0
4292,210485,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,88516.0,Married,Nova,2796.8,Standard,2015,7,2016.0,2.0
4295,261423,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,78170.0,Married,Nova,2797.76,Standard,2016,10,2018.0,11.0
4306,778317,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,63939.0,Married,Nova,2803.8,Standard,2016,12,2018.0,8.0
4314,989527,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,102982.0,Married,Star,5181.62,2018 Promotion,2018,2,2018.0,10.0
4325,372522,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,85952.0,Married,Nova,2810.67,Standard,2016,4,2018.0,5.0
4330,565074,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,84836.0,Married,Nova,2813.31,Standard,2014,2,2016.0,6.0
4332,651210,Canada,Manitoba,Winnipeg,R3R 3T4,Female,Bachelor,68785.0,Married,Nova,2813.51,Standard,2016,1,2016.0,11.0
4350,822723,Canada,Quebec,Montreal,H2Y 2W2,Male,Doctor,243591.0,Married,Nova,2822.59,Standard,2017,7,2017.0,12.0
4352,718922,Canada,Quebec,Montreal,H4G 3T4,Female,College,,Married,Nova,2822.73,Standard,2016,4,2018.0,7.0
4354,240861,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,92551.0,Married,Nova,2824.68,Standard,2015,9,2016.0,5.0
4356,329446,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,67036.0,Married,Nova,2824.85,Standard,2013,4,2014.0,10.0
4366,671906,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,50432.0,Married,Nova,2829.86,Standard,2015,4,2015.0,6.0
4367,530214,Canada,Ontario,Toronto,M2Z 4K1,Male,Master,94856.0,Married,Nova,2831.59,Standard,2015,2,2017.0,7.0
4371,190570,Canada,Ontario,Toronto,P1L 8X8,Male,Bachelor,59072.0,Married,Nova,2832.51,Standard,2017,3,2017.0,11.0
4396,496403,Canada,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,90671.0,Divorced,Nova,2844.85,Standard,2013,5,2017.0,11.0
4420,846215,Canada,Newfoundland,St. John's,A1C 6H9,Female,College,,Married,Nova,2856.95,Standard,2015,11,2016.0,7.0
4430,544619,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,69342.0,Married,Nova,2860.11,Standard,2017,9,2018.0,5.0
4432,417841,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,52327.0,Divorced,Nova,2860.75,Standard,2015,4,2015.0,12.0
4445,318291,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,58766.0,Married,Nova,2863.31,Standard,2013,4,2016.0,8.0
4447,349447,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Nova,2864.09,Standard,2015,5,2016.0,1.0
4448,931247,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,98765.0,Divorced,Nova,2864.54,Standard,2013,8,2017.0,10.0
4449,856609,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,64625.0,Single,Star,6085.3,2018 Promotion,2018,3,2018.0,11.0
4461,893866,Canada,British Columbia,Victoria,V10 6T5,Female,Master,91378.0,Divorced,Star,6273.91,2018 Promotion,2018,3,2018.0,12.0
4474,159486,Canada,Ontario,London,M5B 3E4,Male,College,,Single,Nova,2876.78,Standard,2013,11,2018.0,2.0
4510,976423,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,90879.0,Married,Nova,2891.27,Standard,2016,6,2018.0,11.0
4534,344768,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,58868.0,Married,Nova,2903.02,Standard,2014,1,2014.0,9.0
4541,487212,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,49504.0,Married,Nova,2907.36,Standard,2015,7,2018.0,10.0
4545,835440,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,58173.0,Married,Nova,2908.88,Standard,2016,4,2018.0,4.0
4556,490387,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,91250.0,Divorced,Nova,2912.89,Standard,2015,7,2016.0,3.0
4574,940901,Canada,British Columbia,Vancouver,V1E 4R6,Male,College,,Single,Nova,2921.68,Standard,2015,7,2016.0,3.0
4583,913809,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,51109.0,Married,Nova,2926.83,Standard,2014,2,2014.0,10.0
4588,945379,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,69951.0,Married,Nova,2927.73,Standard,2017,12,2018.0,10.0
4590,456177,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,95165.0,Married,Star,7234.14,2018 Promotion,2018,4,2018.0,12.0
4593,189854,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,65397.0,Married,Nova,2931.16,Standard,2018,5,2018.0,11.0
4629,164094,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,92875.0,Divorced,Nova,2957.76,Standard,2017,3,2018.0,12.0
4631,363513,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,82943.0,Divorced,Nova,2959.82,Standard,2016,1,2016.0,7.0
4636,279634,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,High School or Below,65752.0,Married,Nova,2961.31,Standard,2015,2,2018.0,2.0
4637,641903,Canada,Alberta,Edmonton,T3G 6Y6,Female,High School or Below,52743.0,Married,Nova,2962.72,Standard,2013,1,2013.0,9.0
4644,569188,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,65663.0,Married,Nova,2969.59,Standard,2014,7,2017.0,4.0
4645,818040,Canada,Ontario,Toronto,M2M 6J7,Female,Bachelor,65663.0,Married,Nova,2969.59,Standard,2015,5,2016.0,1.0
4647,878510,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,93281.0,Single,Nova,2971.92,Standard,2017,5,2018.0,1.0
4649,831812,Canada,Ontario,Trenton,K8V 4B2,Male,College,,Single,Nova,2972.46,Standard,2017,6,2018.0,2.0
4653,976831,Canada,Ontario,Toronto,M1R 4K3,Male,Bachelor,79167.0,Single,Nova,2978.85,Standard,2013,5,2014.0,1.0
4666,138065,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,,Married,Nova,2993.02,Standard,2017,10,2018.0,6.0
4679,753306,Canada,Quebec,Montreal,H2Y 2W2,Male,College,,Single,Nova,3011.27,Standard,2017,11,2018.0,5.0
4701,628452,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,54980.0,Single,Nova,3038.11,Standard,2015,2,2015.0,6.0
4716,347850,Canada,Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,62937.0,Married,Nova,3055.7,Standard,2014,2,2018.0,7.0
4718,927559,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,89210.0,Married,Nova,3056.99,Standard,2015,11,2016.0,7.0
4721,796429,Canada,Manitoba,Winnipeg,R2C 0M5,Male,College,,Single,Nova,3059.18,Standard,2013,6,2014.0,2.0
4745,303396,Canada,Ontario,Ottawa,K1G 4Z0,Female,Bachelor,49446.0,Married,Nova,3090.13,Standard,2014,8,2017.0,1.0
4772,299454,Canada,Ontario,Ottawa,K1F 2R2,Male,College,,Married,Nova,3107.59,Standard,2014,7,2018.0,8.0
4781,973060,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,48743.0,Married,Nova,3118.98,Standard,2016,4,2018.0,1.0
4782,293663,Canada,New Brunswick,Moncton,E1A 2A7,Male,Bachelor,85263.0,Single,Nova,3122.98,Standard,2014,4,2017.0,5.0
4787,819521,Canada,British Columbia,Victoria,V10 6T5,Female,Master,69772.0,Divorced,Star,10083.49,2018 Promotion,2018,3,2018.0,11.0
4798,300106,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,72779.0,Married,Nova,3135.41,Standard,2015,4,2015.0,5.0
4808,164064,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,49482.0,Married,Nova,3141.33,Standard,2016,2,2016.0,10.0
4816,830394,Canada,Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,52461.0,Single,Nova,3146.04,Standard,2015,9,2016.0,5.0
4822,998072,Canada,Ontario,Ottawa,K1F 2R2,Female,Master,97206.0,Married,Nova,3151.16,Standard,2014,7,2018.0,1.0
4828,469545,Canada,Yukon,Whitehorse,Y2K 6R0,Female,College,,Single,Nova,3161.17,Standard,2013,3,2016.0,12.0
4831,188307,Canada,Ontario,Toronto,P1J 8T7,Female,College,,Married,Nova,3164.49,Standard,2014,4,2018.0,7.0
4842,979634,Canada,Manitoba,Winnipeg,R2C 0M5,Female,College,,Married,Nova,3187.35,Standard,2015,8,2018.0,9.0
4847,750154,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,70435.0,Single,Nova,3193.46,Standard,2013,3,2013.0,11.0
4864,399514,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,71409.0,Divorced,Nova,3214.98,Standard,2017,5,2018.0,1.0
4871,515142,Canada,Ontario,Toronto,P1W 1K4,Female,High School or Below,58282.0,Married,Nova,3220.78,Standard,2015,12,2016.0,8.0
4878,707273,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,99062.0,Single,Nova,3226.52,Standard,2017,2,2017.0,11.0
4900,532848,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,75990.0,Married,Nova,3238.0,Standard,2017,9,2017.0,12.0
4901,816122,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,75990.0,Married,Nova,3238.0,Standard,2017,9,2018.0,5.0
4911,385638,Canada,Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,97176.0,Divorced,Nova,3241.59,Standard,2016,11,2017.0,7.0
4913,299573,Canada,Ontario,Toronto,M8Y 4K8,Female,Bachelor,84834.0,Married,Nova,3242.04,Standard,2015,10,2018.0,2.0
4917,728316,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,65885.0,Married,Nova,3245.33,Standard,2017,1,2017.0,9.0
4918,983450,Canada,Ontario,London,M5B 3E4,Male,Bachelor,57951.0,Married,Nova,3245.48,Standard,2014,7,2015.0,7.0
4924,418233,Canada,Ontario,Toronto,P5S 6R4,Male,College,,Married,Nova,3260.74,Standard,2014,7,2016.0,3.0
4925,491704,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Married,Nova,3260.74,Standard,2014,1,2014.0,9.0
4934,741725,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,50800.0,Divorced,Nova,3265.16,Standard,2013,6,2017.0,6.0
4942,682654,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,55093.0,Married,Nova,3274.19,Standard,2014,2,2017.0,12.0
4950,235220,Canada,Ontario,Toronto,P1L 8X8,Female,High School or Below,55648.0,Single,Nova,3288.83,Standard,2014,11,2015.0,7.0
4965,485486,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,84695.0,Divorced,Nova,3309.12,Standard,2013,10,2013.0,11.0
4966,787571,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,84695.0,Divorced,Nova,3309.12,Standard,2016,10,2017.0,6.0
4973,256467,Canada,Ontario,Kingston,M9K 2P4,Male,College,,Single,Nova,3312.25,Standard,2013,11,2014.0,7.0
4989,370979,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,63745.0,Married,Nova,3337.59,Standard,2016,3,2016.0,12.0
4995,758656,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Married,Nova,3342.18,Standard,2015,10,2017.0,6.0
4999,645635,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,89051.0,Married,Nova,3349.64,Standard,2013,1,2015.0,12.0
5008,157771,Canada,Saskatchewan,Regina,S1J 3C5,Female,Bachelor,66038.0,Married,Nova,3355.53,Standard,2015,12,2017.0,5.0
5010,245671,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,88478.0,Married,Nova,3358.66,Standard,2014,1,2014.0,9.0
5014,363178,Canada,Quebec,Montreal,H4G 3T4,Female,High School or Below,53586.0,Single,Nova,3359.29,Standard,2016,11,2017.0,7.0
5034,110030,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,48851.0,Married,Nova,3387.78,Standard,2016,8,2017.0,8.0
5036,277025,Canada,British Columbia,Kelowna,V09 2E9,Female,Bachelor,92957.0,Married,Nova,3394.72,Standard,2017,1,2017.0,9.0
5044,855351,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,73930.0,Married,Nova,3402.78,Standard,2013,2,2013.0,10.0
5053,126181,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,84929.0,Married,Nova,3417.95,Standard,2014,4,2016.0,7.0
5054,278898,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,61376.0,Married,Nova,3419.11,Standard,2017,3,2018.0,10.0
5055,597209,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Master,75327.0,Married,Nova,3420.66,Standard,2013,11,2018.0,7.0
5069,815248,Canada,Ontario,Toronto,M2P 4F6,Male,Bachelor,54457.0,Divorced,Nova,3436.13,Standard,2016,9,2017.0,5.0
5079,611046,Canada,Quebec,Quebec City,G1B 3L5,Female,College,,Divorced,Nova,3445.86,Standard,2017,10,2018.0,6.0
5083,559261,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,81726.0,Single,Nova,3450.07,Standard,2017,9,2018.0,5.0
5094,497030,Canada,British Columbia,Vancouver,V1E 4R6,Female,College,,Married,Nova,3460.12,Standard,2014,1,2014.0,3.0
5096,215751,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Doctor,100861.0,Married,Nova,3460.67,Standard,2016,2,2016.0,10.0
5102,663746,Canada,Quebec,Montreal,H2T 9K8,Female,College,,Single,Nova,3472.37,Standard,2018,7,2018.0,12.0
5105,124536,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,53814.0,Divorced,Nova,3478.89,Standard,2013,10,2014.0,1.0
5110,979639,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,79589.0,Married,Nova,3482.69,Standard,2017,5,2018.0,12.0
5115,265612,Canada,Quebec,Montreal,H2T 2J6,Male,College,,Married,Nova,3489.28,Standard,2013,3,2016.0,11.0
5120,481262,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,57518.0,Single,Nova,3494.15,Standard,2016,3,2016.0,10.0
5132,119917,Canada,Ontario,Toronto,P1L 8X8,Male,High School or Below,62283.0,Married,Nova,3508.57,Standard,2014,5,2015.0,1.0
5133,347276,Canada,British Columbia,Whistler,V6T 1Y8,Male,High School or Below,62283.0,Married,Nova,3508.57,Standard,2013,4,2017.0,2.0
5136,506749,Canada,Nova Scotia,Halifax,B3J 9S2,Female,High School or Below,62283.0,Married,Nova,3508.57,Standard,2015,3,2017.0,2.0
5141,939074,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,62283.0,Married,Nova,3508.57,Standard,2013,10,2015.0,5.0
5143,247247,Canada,Newfoundland,St. John's,A1C 6H9,Female,College,,Single,Nova,3508.93,Standard,2014,7,2017.0,10.0
5144,276931,Canada,Quebec,Quebec City,G1B 3L5,Female,College,,Single,Nova,3508.93,Standard,2015,3,2015.0,11.0
5148,223238,Canada,Alberta,Banff,T4V 1D4,Female,Bachelor,69822.0,Single,Nova,3517.39,Standard,2014,7,2014.0,10.0
5151,470334,Canada,Quebec,Montreal,H4G 3T4,Female,Doctor,251507.0,Single,Nova,3527.4,Standard,2014,9,2018.0,6.0
5154,515579,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,54794.0,Married,Nova,3528.04,Standard,2014,1,2017.0,5.0
5158,199021,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,College,,Single,Nova,3530.01,Standard,2016,11,2017.0,7.0
5159,989081,Canada,Ontario,Toronto,M2Z 4K1,Male,College,,Single,Nova,3530.01,Standard,2013,3,2014.0,8.0
5177,677322,Canada,Ontario,Ottawa,K1G 4Z0,Female,College,,Married,Nova,3548.07,Standard,2016,7,2018.0,3.0
5178,550303,Canada,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,87603.0,Married,Nova,3548.15,Standard,2013,4,2013.0,11.0
5187,441670,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,74756.0,Married,Nova,3554.85,Standard,2013,1,2017.0,12.0
5191,683250,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,74756.0,Married,Nova,3554.85,Standard,2014,10,2015.0,6.0
5214,937484,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,85949.0,Single,Nova,3571.35,Standard,2017,11,2018.0,7.0
5219,197239,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,54038.0,Married,Nova,3575.04,Standard,2015,10,2015.0,12.0
5224,904802,Canada,Manitoba,Winnipeg,R3R 3T4,Male,Bachelor,93811.0,Married,Nova,3579.77,Standard,2016,9,2017.0,5.0
5228,683550,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,67821.0,Single,Nova,3585.88,Standard,2014,4,2016.0,5.0
5239,140375,Canada,Quebec,Montreal,H4G 3T4,Female,Master,118530.0,Single,Nova,3600.93,Standard,2015,11,2016.0,7.0
5249,759983,Canada,Quebec,Montreal,H2T 9K8,Male,College,,Married,Nova,3615.89,Standard,2016,6,2017.0,2.0
5256,187161,Canada,Ontario,Toronto,P2T 6G3,Female,High School or Below,46278.0,Married,Nova,3621.69,Standard,2016,7,2017.0,3.0
5262,975613,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,57508.0,Married,Nova,3636.94,Standard,2016,8,2017.0,4.0
5265,727091,Canada,Manitoba,Winnipeg,R6Y 4T5,Female,Bachelor,24287.0,Divorced,Aurora,33473.35,2018 Promotion,2018,3,2018.0,11.0
5272,597522,Canada,New Brunswick,Fredericton,E3B 2H2,Male,College,,Single,Nova,3649.19,Standard,2015,9,2016.0,5.0
5295,750454,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,82804.0,Single,Nova,3673.53,Standard,2017,11,2018.0,7.0
5300,543456,Canada,Ontario,Kingston,M9K 2P4,Female,College,,Married,Nova,3681.25,Standard,2017,10,2018.0,6.0
5323,734938,Canada,Yukon,Whitehorse,Y2K 6R0,Female,Bachelor,58769.0,Single,Nova,3700.68,Standard,2016,12,2017.0,8.0
5328,580068,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,48824.0,Married,Nova,3703.44,Standard,2015,1,2017.0,8.0
5336,504663,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,,Single,Nova,3709.92,Standard,2017,1,2017.0,9.0
5359,540796,Canada,Saskatchewan,Regina,S1J 3C5,Male,College,,Married,Nova,3731.5,Standard,2014,8,2017.0,2.0
5362,945761,Canada,Nova Scotia,Halifax,B3J 9S2,Male,College,,Married,Nova,3731.5,Standard,2017,11,2018.0,7.0
5366,126148,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,,Single,Nova,3732.57,Standard,2016,5,2017.0,1.0
5369,131637,Canada,Ontario,Toronto,M1R 4K3,Male,College,,Single,Nova,3735.84,Standard,2015,3,2015.0,11.0
5373,467510,Canada,British Columbia,Vancouver,V6E 3D9,Male,Doctor,86055.0,Divorced,Nova,3741.57,Standard,2014,9,2018.0,2.0
5377,999891,Canada,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,75616.0,Married,Nova,3745.37,Standard,2016,5,2017.0,1.0
5384,590012,Canada,Ontario,Toronto,M8Y 4K8,Female,Bachelor,62259.0,Married,Nova,3746.75,Standard,2015,6,2016.0,2.0
5397,208585,Canada,Manitoba,Winnipeg,R2C 0M5,Male,College,,Single,Nova,3761.79,Standard,2016,5,2016.0,6.0
5400,665374,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,100395.0,Married,Nova,3763.64,Standard,2016,2,2016.0,10.0
5403,838784,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,63673.0,Married,Nova,3768.09,Standard,2017,4,2017.0,12.0
5415,261426,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,67680.0,Divorced,Nova,3788.65,Standard,2017,7,2018.0,3.0
5418,898587,Canada,Manitoba,Winnipeg,R6Y 4T5,Female,Bachelor,80326.0,Married,Nova,3790.19,Standard,2016,5,2017.0,1.0
5429,803586,Canada,Ontario,London,M5B 3E4,Female,College,,Married,Nova,3799.75,Standard,2014,7,2018.0,3.0
5430,164211,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,61552.0,Married,Nova,3801.28,Standard,2013,8,2016.0,2.0
5435,859508,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,50969.0,Married,Nova,3803.8,Standard,2017,11,2018.0,7.0
5457,181434,Canada,Ontario,Toronto,M2M 7K8,Male,High School or Below,66695.0,Divorced,Nova,3837.36,Standard,2014,11,2015.0,7.0
5458,697824,Canada,Alberta,Peace River,T9O 2W2,Male,High School or Below,66695.0,Divorced,Nova,3837.36,Standard,2016,10,2017.0,1.0
5473,190149,Canada,Ontario,Toronto,M8Y 4K8,Male,College,,Single,Nova,3849.6,Standard,2014,1,2018.0,7.0
5478,373665,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,100159.0,Married,Nova,3861.49,Standard,2014,9,2015.0,5.0
