employee_turnover,business_travel_frequency,distance_from_home_km,education_level,environmental_satisfaction_level,gender,job_involvement_level,job_level,job_satisfaction_level,marital_status,num_companies_worked,overtime_hours,percent_salary_hike,standard_work_hours,stock_option_level,training_sessions_last_year,years_at_company,years_with_current_manager,birth_year,remote_work,total_years_worked,annual_salary,work_life_balance
no,unknown,14.0,1,3.0,male,3,2,4,unknown,0,none,17,full_time,1,2,16,11,1987,no,10.0,65860.0,2.0
no,non_travel,20.0,2,4.0,female,3,2,3,unknown,1,none,13,none,1,2,9,0,1992,no,10.0,53914.11,2.0
no,travel_rarely,2.0,4,3.0,male,3,1,3,single,4,no,21,part_time,0,6,11,9,1987,yes,10.0,25190.0,3.0
no,unknown,1.0,2,4.0,male,3,4,4,married,2,none,15,full_time,1,2,9,8,1971,yes,26.0,170990.0,3.0
no,non_travel,17.0,3,4.0,male,3,4,3,single,1,none,11,full_time,0,2,10,0,1990,no,10.0,153407.07,3.0
no,non_travel,23.0,2,4.0,male,3,2,1,unknown,1,yes,15,part_time,1,2,9,8,1978,yes,9.0,53914.11,3.0
no,travel_rarely,12.0,5,4.0,female,2,3,4,unknown,0,none,11,part_time,0,2,14,8,1987,yes,15.0,100071.84,2.0
no,unknown,8.0,4,4.0,male,2,4,2,unknown,6,none,17,full_time,1,3,9,3,1974,no,22.0,131200.0,3.0
yes,unknown,23.0,1,4.0,female,2,3,1,unknown,1,none,13,part_time,1,3,11,10,1994,yes,11.0,100071.84,1.0
no,unknown,6.0,1,2.0,female,3,1,4,married,1,none,13,none,1,5,10,8,1994,no,10.0,53914.11,3.0
no,unknown,1.0,3,4.0,female,2,2,4,married,1,none,13,part_time,1,2,14,11,1986,yes,14.0,53914.11,2.0
no,travel_rarely,10.0,5,4.0,male,4,3,3,unknown,0,none,14,part_time,2,3,9,8,1990,yes,10.0,100071.84,3.0
no,travel_frequently,19.0,3,3.0,female,3,2,2,divorced,4,no,13,part_time,2,2,11,10,1989,yes,15.0,44440.0,4.0
no,non_travel,1.0,3,3.0,female,1,2,4,married,0,no,11,none,3,6,9,5,1995,yes,10.0,53914.11,3.0
no,non_travel,2.0,4,4.0,female,3,3,3,unknown,1,yes,19,part_time,1,5,10,6,1992,yes,10.0,98520.0,2.0
no,non_travel,2.0,1,3.0,male,3,4,3,unknown,0,yes,13,full_time,0,3,20,10,1981,no,21.0,178610.0,2.0
no,travel_rarely,2.0,3,3.0,male,3,2,4,single,1,none,13,part_time,0,4,9,8,1983,yes,9.0,53914.11,3.0
no,unknown,15.0,2,3.0,female,3,2,1,single,1,none,12,none,0,6,10,6,1989,yes,10.0,53914.11,4.0
no,travel_rarely,1.0,3,4.0,female,3,5,1,unknown,3,none,21,full_time,1,3,9,5,1965,no,10.0,191324.62,3.0
yes,travel_frequently,1.0,5,3.0,female,4,3,2,unknown,1,none,11,none,0,2,10,7,1992,yes,10.0,53914.11,3.0
no,non_travel,8.0,1,4.0,male,2,3,2,unknown,2,no,11,full_time,1,5,9,8,1983,yes,16.0,137570.0,3.0
no,unknown,2.0,3,4.0,male,4,4,2,single,4,no,12,full_time,0,2,9,8,1970,yes,35.0,165980.0,2.0
no,unknown,15.0,3,2.0,male,3,4,1,unknown,7,none,14,full_time,2,3,14,9,1989,yes,16.0,153407.07,2.0
no,travel_rarely,16.0,3,4.0,female,2,3,2,single,1,no,19,none,0,3,11,3,1988,yes,10.0,53914.11,1.0
no,unknown,13.0,3,1.0,male,3,2,4,married,1,none,17,part_time,0,2,10,7,1986,yes,10.0,42850.0,3.0
no,travel_frequently,2.0,3,4.0,male,3,3,4,unknown,2,yes,14,full_time,1,3,20,9,1981,yes,24.0,101240.0,1.0
no,unknown,1.0,4,1.0,male,3,3,2,divorced,1,none,12,part_time,3,4,10,7,1978,yes,10.0,100071.84,3.0
yes,travel_rarely,1.0,3,2.0,male,2,2,1,married,1,no,11,full_time,1,4,10,7,1993,yes,10.0,97140.0,3.0
no,travel_rarely,14.0,3,3.0,male,3,2,2,married,0,none,11,full_time,1,3,9,7,1985,yes,10.0,99240.0,3.0
no,unknown,20.0,5,2.0,male,3,4,3,unknown,2,none,15,full_time,1,3,30,13,1973,no,32.0,112450.0,3.0
no,travel_rarely,3.0,2,3.0,male,2,2,3,unknown,0,none,15,none,1,3,10,7,1984,yes,10.0,53914.11,3.0
no,travel_rarely,3.0,3,4.0,female,3,2,2,unknown,1,no,12,part_time,1,2,11,9,1989,yes,11.0,53914.11,3.0
no,travel_rarely,22.0,5,2.0,female,3,4,3,unknown,3,none,25,full_time,1,6,10,7,1969,yes,36.0,153407.07,3.0
no,travel_rarely,6.0,3,4.0,male,3,3,3,unknown,1,no,12,part_time,0,3,10,7,1982,no,10.0,92410.0,3.0
no,unknown,1.0,3,4.0,male,3,2,4,married,1,none,15,full_time,1,2,9,8,1984,yes,10.0,64720.0,3.0
no,travel_rarely,7.0,4,2.0,male,3,5,2,unknown,1,no,14,full_time,0,3,21,8,1983,no,10.0,191324.62,2.0
no,unknown,4.0,3,4.0,male,3,2,2,unknown,5,no,15,part_time,2,2,9,7,1990,yes,11.0,30550.0,2.0
no,unknown,10.0,3,4.0,male,3,3,1,unknown,7,none,13,part_time,1,1,12,7,1987,no,15.0,83210.0,3.0
no,unknown,8.0,4,4.0,male,4,1,1,married,6,no,19,full_time,1,1,10,6,1990,yes,14.0,31430.0,3.0
no,travel_rarely,8.0,2,2.0,male,4,2,3,unknown,1,no,21,none,2,5,10,8,1989,no,10.0,53914.11,3.0
no,travel_frequently,7.0,1,4.0,male,3,1,4,married,1,no,13,part_time,0,3,11,10,1994,no,10.0,28111.13,4.0
no,travel_rarely,2.0,2,4.0,male,3,3,4,divorced,3,none,14,part_time,1,4,9,7,1977,yes,12.0,85780.0,2.0
no,travel_rarely,23.0,1,2.0,female,2,2,3,married,1,no,21,part_time,1,5,9,8,1996,no,10.0,53914.11,3.0
no,unknown,7.0,3,2.0,male,3,2,3,divorced,1,no,11,none,1,2,10,2,1992,no,10.0,53914.11,3.0
no,travel_rarely,25.0,2,2.0,female,2,2,4,unknown,0,no,13,none,2,2,9,8,1978,yes,10.0,53914.11,2.0
no,travel_rarely,1.0,3,1.0,male,3,3,4,unknown,1,no,21,part_time,0,3,14,1,1989,no,14.0,98880.0,2.0
no,unknown,1.0,3,4.0,male,1,2,1,married,1,none,21,part_time,0,6,10,7,1992,yes,10.0,53914.11,3.0
no,unknown,7.0,4,3.0,female,3,2,4,unknown,1,yes,11,part_time,0,2,10,9,1988,no,10.0,53914.11,3.0
no,travel_rarely,15.0,4,2.0,male,3,4,1,single,0,no,12,full_time,0,3,20,10,1984,no,21.0,133410.0,3.0
no,travel_rarely,2.0,2,2.0,female,3,2,2,married,3,no,14,none,1,4,11,10,1983,yes,10.0,53914.11,3.0
no,travel_rarely,1.0,2,4.0,male,3,1,2,married,1,no,13,none,0,6,12,7,1993,no,12.0,53914.11,2.0
no,unknown,1.0,1,3.0,female,3,3,2,married,0,no,18,part_time,2,3,13,12,1976,yes,14.0,100071.84,1.0
no,non_travel,29.0,4,1.0,male,3,1,4,divorced,2,none,15,part_time,2,3,9,0,1971,yes,16.0,28111.13,3.0
no,travel_frequently,8.0,1,3.0,male,2,2,2,married,1,no,23,part_time,1,3,10,7,1974,yes,10.0,53914.11,3.0
no,travel_frequently,7.0,4,3.0,female,3,1,3,married,1,none,11,full_time,0,3,8,0,1990,yes,10.0,29090.0,3.0
no,unknown,2.0,2,4.0,male,3,1,4,unknown,0,none,13,part_time,0,2,7,6,1991,yes,8.0,28111.13,2.0
no,travel_frequently,23.0,3,4.0,male,2,3,3,unknown,0,no,21,part_time,0,2,9,8,1985,yes,10.0,95260.0,3.0
no,travel_rarely,27.0,3,3.0,male,3,2,3,unknown,6,none,13,part_time,2,3,7,7,1987,yes,17.0,53914.11,2.0
no,unknown,8.0,4,3.0,male,3,2,2,unknown,0,none,11,none,1,2,9,2,1981,no,10.0,53914.11,3.0
no,unknown,7.0,4,4.0,male,3,2,4,divorced,3,no,22,part_time,1,3,7,7,1992,no,10.0,53914.11,2.0
no,travel_rarely,8.0,4,3.0,female,3,2,4,single,1,no,23,part_time,0,2,11,8,1992,no,11.0,44240.0,3.0
no,unknown,21.0,4,3.0,male,3,2,4,unknown,0,none,22,none,0,2,10,0,1972,yes,11.0,53914.11,1.0
yes,travel_frequently,7.0,3,1.0,male,1,2,3,unknown,1,yes,24,full_time,0,3,9,6,1989,yes,9.0,60740.0,3.0
no,unknown,11.0,2,2.0,female,3,3,4,unknown,0,no,14,part_time,1,6,9,8,1987,no,10.0,100071.84,3.0
no,travel_frequently,23.0,3,1.0,male,1,1,3,divorced,1,no,25,part_time,3,2,10,9,1993,no,10.0,28111.13,2.0
no,non_travel,7.0,2,3.0,male,3,2,2,married,0,none,13,full_time,1,2,7,7,1990,yes,10.0,61460.0,4.0
yes,unknown,6.0,4,2.0,male,1,2,3,married,4,none,18,full_time,0,3,7,7,1992,no,10.0,61720.0,2.0
no,travel_rarely,7.0,1,3.0,male,3,3,3,divorced,3,yes,13,part_time,1,2,9,7,1982,no,10.0,100071.84,3.0
no,travel_rarely,25.0,1,3.0,female,3,1,3,unknown,1,none,23,none,1,3,8,7,1997,yes,8.0,53914.11,3.0
no,unknown,9.0,2,4.0,male,1,2,4,divorced,0,no,17,part_time,3,2,8,7,1991,yes,10.0,46680.0,4.0
no,travel_frequently,26.0,3,2.0,female,3,2,2,divorced,1,no,11,full_time,1,2,20,13,1983,no,20.0,56050.0,3.0
no,travel_rarely,6.0,2,2.0,male,3,2,3,unknown,2,yes,20,part_time,1,3,7,5,1970,yes,13.0,53914.11,1.0
no,non_travel,1.0,1,4.0,male,3,2,3,married,1,none,13,part_time,1,1,10,9,1994,no,10.0,43190.0,3.0
no,travel_frequently,3.0,2,4.0,male,3,1,2,unknown,4,no,12,part_time,0,3,8,2,1987,yes,13.0,28111.13,2.0
no,travel_rarely,14.0,3,4.0,female,3,1,2,unknown,1,none,13,part_time,1,5,8,6,1990,yes,8.0,28111.13,3.0
no,travel_rarely,3.0,3,4.0,female,3,4,2,single,3,none,18,full_time,0,6,7,0,1972,no,10.0,153407.07,3.0
no,travel_rarely,9.0,3,4.0,female,3,1,2,single,1,no,16,part_time,0,2,7,3,1996,no,10.0,28111.13,2.0
no,unknown,21.0,3,2.0,male,4,1,1,unknown,1,yes,12,full_time,1,3,8,7,1986,yes,10.0,35640.0,2.0
no,unknown,29.0,3,4.0,male,3,2,4,married,3,no,18,full_time,1,3,7,7,1985,yes,9.0,62610.0,1.0
no,non_travel,18.0,4,4.0,male,3,2,4,divorced,1,yes,15,full_time,2,0,7,7,1974,no,7.0,68040.0,3.0
no,unknown,20.0,3,4.0,female,3,2,3,single,1,none,14,part_time,0,2,7,7,1996,no,7.0,53914.11,3.0
no,unknown,6.0,3,4.0,female,2,3,4,single,6,none,12,part_time,0,2,19,8,1978,yes,23.0,100071.84,3.0
no,unknown,1.0,3,3.0,female,3,3,3,single,1,no,14,part_time,0,3,10,8,1988,yes,10.0,100071.84,4.0
yes,travel_rarely,2.0,2,1.0,female,3,1,1,unknown,7,no,20,part_time,0,3,9,7,1990,yes,13.0,28111.13,4.0
no,unknown,2.0,4,1.0,male,2,5,3,unknown,1,yes,18,full_time,0,2,33,12,1971,yes,33.0,191324.62,4.0
no,unknown,2.0,2,1.0,male,3,5,3,unknown,0,no,19,full_time,1,5,21,9,1983,yes,10.0,194360.0,3.0
no,non_travel,2.0,2,4.0,male,2,2,4,unknown,3,no,18,part_time,1,0,8,5,1985,yes,13.0,53914.11,3.0
no,unknown,7.0,3,3.0,female,1,4,2,married,3,yes,12,full_time,1,2,7,7,1977,no,28.0,153407.07,2.0
no,travel_rarely,20.0,2,3.0,male,3,4,4,married,0,yes,14,none,0,2,20,10,1978,yes,21.0,153407.07,3.0
yes,non_travel,7.0,4,1.0,male,3,3,2,married,1,none,12,none,1,2,10,9,1976,yes,10.0,53914.11,2.0
no,unknown,22.0,3,2.0,female,4,3,2,divorced,7,none,18,part_time,1,6,7,2,1988,no,10.0,100071.84,2.0
no,travel_frequently,2.0,2,2.0,male,3,2,4,single,1,none,18,part_time,0,3,10,9,1994,yes,10.0,53914.11,3.0
no,travel_rarely,20.0,2,2.0,male,3,2,4,married,3,none,19,part_time,1,4,10,8,1968,yes,12.0,53914.11,3.0
yes,travel_rarely,7.0,4,4.0,male,2,2,4,single,1,none,12,none,0,0,8,4,1997,yes,10.0,53914.11,3.0
no,travel_rarely,7.0,3,2.0,male,4,2,4,unknown,4,none,11,part_time,1,3,8,7,1992,yes,10.0,53914.11,2.0
no,travel_frequently,10.0,4,3.0,female,3,1,4,unknown,0,no,19,part_time,0,5,8,7,1980,yes,10.0,24550.0,3.0
no,travel_rarely,7.0,3,4.0,male,3,2,4,unknown,4,none,12,part_time,3,3,7,7,1992,yes,13.0,53914.11,3.0
no,unknown,2.0,4,1.0,female,4,2,4,single,7,none,16,part_time,0,0,7,7,1991,yes,10.0,50550.0,2.0
no,unknown,10.0,3,2.0,male,2,2,4,unknown,3,no,14,none,0,6,7,1,1990,no,10.0,53914.11,2.0
no,travel_frequently,10.0,4,3.0,female,2,2,3,divorced,1,no,11,part_time,1,3,9,0,1980,no,9.0,52570.0,4.0
yes,travel_rarely,8.0,4,2.0,male,1,1,1,unknown,1,none,11,none,0,4,7,7,1994,no,7.0,53914.11,2.0
no,unknown,8.0,4,2.0,female,3,2,2,unknown,1,no,18,part_time,1,3,8,7,1996,no,8.0,53914.11,3.0
no,travel_rarely,10.0,1,4.0,female,2,2,2,divorced,1,yes,14,part_time,2,2,7,7,1994,no,7.0,53914.11,3.0
no,unknown,6.0,3,3.0,male,4,2,1,divorced,4,none,13,full_time,2,2,7,7,1986,no,13.0,59740.0,3.0
no,travel_rarely,1.0,3,3.0,male,3,2,3,unknown,1,none,17,part_time,1,3,8,7,1997,yes,10.0,53914.11,3.0
no,travel_rarely,10.0,4,4.0,female,4,1,3,married,3,yes,13,none,1,3,7,7,1983,yes,10.0,53914.11,3.0
yes,unknown,4.0,3,1.0,male,3,2,2,unknown,1,no,18,part_time,0,5,8,7,1982,no,8.0,53914.11,3.0
no,travel_rarely,14.0,2,3.0,female,3,2,4,unknown,4,no,11,none,1,2,7,7,1972,yes,18.0,53914.11,2.0
no,unknown,14.0,3,4.0,female,3,1,1,unknown,1,no,12,full_time,1,2,18,17,1986,no,10.0,30340.0,2.0
no,unknown,6.0,3,3.0,female,4,4,1,married,9,no,11,none,3,0,7,7,1967,yes,36.0,53914.11,2.0
no,travel_rarely,1.0,3,2.0,male,4,3,1,married,1,none,16,part_time,1,2,10,7,1982,yes,10.0,83920.0,3.0
no,unknown,18.0,3,3.0,female,3,2,3,unknown,2,no,14,part_time,1,5,10,8,1977,no,19.0,53914.11,2.0
no,non_travel,2.0,3,3.0,female,3,1,4,single,0,none,14,part_time,0,2,11,7,1993,no,12.0,28111.13,2.0
no,travel_rarely,16.0,3,4.0,male,3,3,3,unknown,4,yes,12,part_time,0,2,8,0,1988,no,10.0,100071.84,3.0
no,travel_rarely,2.0,5,2.0,female,3,2,4,married,2,no,14,part_time,1,2,9,7,1975,yes,14.0,40510.0,3.0
no,travel_rarely,2.0,3,4.0,male,3,2,2,unknown,0,no,19,part_time,1,3,8,7,1978,yes,10.0,48050.0,4.0
yes,travel_frequently,17.0,4,2.0,female,3,1,3,unknown,0,yes,11,none,1,2,7,0,1997,yes,8.0,53914.11,3.0
no,unknown,2.0,4,1.0,female,2,2,3,single,2,yes,17,part_time,0,3,8,7,1982,yes,10.0,53914.11,3.0
no,unknown,21.0,4,4.0,male,4,2,4,single,1,none,12,part_time,0,3,10,7,1989,yes,10.0,53370.0,3.0
no,travel_rarely,6.0,4,1.0,male,4,2,4,divorced,4,no,22,part_time,2,4,7,7,1992,yes,13.0,53914.11,4.0
no,travel_frequently,9.0,5,4.0,male,3,2,3,divorced,3,none,13,part_time,1,3,8,7,1980,no,10.0,53914.11,3.0
no,unknown,1.0,1,4.0,female,3,2,1,single,7,none,20,part_time,0,2,14,10,1970,no,18.0,53914.11,4.0
no,travel_rarely,3.0,3,3.0,male,3,3,3,married,1,no,15,part_time,1,2,10,8,1986,yes,10.0,94340.0,3.0
no,unknown,19.0,4,3.0,male,3,3,2,unknown,2,none,15,part_time,1,1,9,1,1969,yes,16.0,100071.84,4.0
no,travel_rarely,7.0,4,4.0,female,2,2,4,unknown,0,no,20,part_time,0,2,7,5,1985,yes,10.0,53914.11,3.0
no,unknown,1.0,4,2.0,male,1,1,4,divorced,1,none,18,part_time,1,5,10,8,1994,yes,10.0,28111.13,3.0
no,unknown,9.0,3,4.0,female,2,3,2,unknown,1,none,14,part_time,0,3,8,7,1989,no,9.0,100071.84,4.0
no,unknown,2.0,4,4.0,female,2,2,3,single,1,no,11,part_time,0,4,20,10,1984,no,20.0,53914.11,3.0
no,unknown,10.0,3,4.0,male,3,2,4,unknown,1,none,12,full_time,0,2,10,8,1991,yes,10.0,53960.0,2.0
no,travel_rarely,1.0,4,2.0,female,4,2,4,unknown,0,none,13,part_time,0,4,9,8,1985,yes,10.0,53914.11,3.0
no,travel_rarely,1.0,2,3.0,female,3,3,1,married,1,none,11,part_time,0,3,9,7,1996,no,9.0,100071.84,3.0
no,travel_rarely,3.0,2,3.0,female,3,3,4,single,3,none,15,full_time,0,6,7,7,1991,no,10.0,111590.0,3.0
no,unknown,7.0,4,4.0,male,3,2,1,single,2,none,12,none,0,2,7,7,1976,no,20.0,53914.11,3.0
no,travel_frequently,10.0,2,4.0,male,3,3,1,unknown,1,no,21,part_time,2,4,9,7,1996,yes,9.0,87930.0,2.0
no,unknown,1.0,3,4.0,male,2,5,3,unknown,1,no,12,full_time,1,3,22,10,1982,no,22.0,191890.0,3.0
yes,unknown,7.0,2,3.0,female,1,1,2,unknown,7,yes,13,part_time,0,4,7,7,1995,yes,10.0,22160.0,3.0
no,unknown,8.0,3,1.0,female,4,3,1,married,9,none,14,full_time,1,2,8,5,1987,no,10.0,117130.0,3.0
no,unknown,27.0,5,3.0,male,3,2,4,divorced,7,no,23,none,1,2,8,7,1993,yes,10.0,53040.0,2.0
no,travel_rarely,9.0,3,3.0,male,3,4,4,married,7,no,11,full_time,0,1,10,1,1967,no,30.0,111030.0,2.0
no,travel_rarely,2.0,2,2.0,male,1,2,3,single,0,no,13,full_time,0,3,8,1,1978,yes,9.0,66320.0,3.0
no,non_travel,8.0,4,1.0,male,2,3,1,single,1,none,15,part_time,0,1,10,9,1987,no,10.0,75870.0,3.0
no,unknown,27.0,3,2.0,female,3,2,3,married,4,no,12,part_time,1,3,8,1,1994,yes,11.0,43350.0,2.0
no,unknown,2.0,4,1.0,female,4,2,1,single,6,none,12,full_time,0,2,15,12,1985,yes,17.0,59800.0,3.0
no,unknown,7.0,2,3.0,female,4,2,2,unknown,1,no,24,none,1,2,8,7,1983,yes,8.0,53914.11,3.0
no,travel_frequently,8.0,3,2.0,male,3,5,4,unknown,1,no,13,none,1,4,24,9,1981,yes,24.0,53914.11,2.0
no,travel_rarely,1.0,3,3.0,female,3,2,2,unknown,0,none,15,part_time,1,2,9,5,1987,no,10.0,52280.0,3.0
no,travel_rarely,23.0,2,3.0,male,4,1,3,married,1,none,24,part_time,1,3,10,7,1994,yes,10.0,27000.0,3.0
yes,unknown,2.0,1,3.0,male,3,2,4,single,4,none,16,part_time,0,3,9,3,1968,no,10.0,53914.11,2.0
no,unknown,2.0,4,2.0,female,3,2,2,unknown,1,none,20,part_time,0,2,8,5,1995,yes,8.0,53914.11,3.0
yes,unknown,5.0,2,3.0,female,2,1,3,married,1,none,14,part_time,1,2,8,7,1997,yes,8.0,23660.0,3.0
no,unknown,9.0,2,2.0,male,3,1,1,unknown,1,yes,13,none,0,0,8,1,1979,yes,8.0,53914.11,3.0
yes,unknown,2.0,4,2.0,female,1,1,4,divorced,4,yes,13,none,1,1,7,0,1982,yes,10.0,53914.11,2.0
no,travel_rarely,7.0,4,2.0,male,2,1,3,unknown,3,none,15,part_time,0,2,7,2,1992,no,10.0,23290.0,4.0
no,travel_frequently,7.0,3,3.0,male,2,2,1,unknown,1,none,12,part_time,0,2,7,7,1997,yes,10.0,42940.0,3.0
no,unknown,12.0,3,4.0,female,3,2,4,unknown,0,none,11,part_time,2,2,9,5,1992,no,10.0,53914.11,1.0
no,unknown,3.0,4,3.0,female,3,2,1,married,1,none,12,full_time,1,2,8,3,1991,no,8.0,67250.0,4.0
yes,travel_rarely,3.0,1,3.0,male,2,3,4,married,1,none,11,full_time,1,6,16,7,1987,no,10.0,103250.0,3.0
no,non_travel,7.0,2,3.0,male,3,2,2,unknown,1,none,12,part_time,0,5,9,8,1978,yes,10.0,44470.0,2.0
no,travel_rarely,2.0,5,1.0,male,4,3,3,single,0,no,18,part_time,0,3,8,7,1984,no,9.0,100071.84,3.0
no,non_travel,8.0,4,1.0,male,3,2,4,divorced,4,no,13,part_time,2,3,7,7,1987,yes,12.0,53914.11,3.0
no,unknown,7.0,2,4.0,male,3,3,3,unknown,6,none,13,full_time,1,3,8,7,1977,no,10.0,108450.0,3.0
no,travel_rarely,17.0,3,3.0,female,3,3,3,unknown,8,none,11,part_time,1,2,10,8,1969,yes,22.0,100071.84,3.0
no,travel_rarely,8.0,2,2.0,female,4,3,1,unknown,0,yes,12,part_time,3,4,8,7,1993,yes,10.0,100071.84,2.0
no,unknown,2.0,2,4.0,male,4,2,4,married,1,none,12,full_time,0,2,8,3,1997,no,10.0,54720.0,3.0
no,travel_frequently,18.0,4,3.0,male,3,2,2,married,3,none,14,full_time,2,3,8,7,1968,yes,10.0,63850.0,3.0
no,non_travel,1.0,3,4.0,female,3,2,3,married,0,none,12,full_time,1,3,18,13,1973,yes,10.0,63470.0,3.0
no,non_travel,29.0,4,4.0,female,3,1,3,single,9,no,12,part_time,0,2,8,7,1991,yes,10.0,28111.13,3.0
no,travel_frequently,2.0,3,3.0,female,2,3,2,unknown,2,none,12,part_time,1,2,15,12,1970,yes,30.0,75250.0,3.0
no,travel_rarely,26.0,3,3.0,male,3,2,1,married,1,none,14,part_time,1,3,7,5,1983,no,8.0,53914.11,2.0
no,unknown,2.0,1,3.0,male,2,4,1,single,7,no,15,none,0,3,9,2,1968,yes,10.0,53914.11,4.0
yes,non_travel,24.0,2,2.0,male,2,3,1,single,1,no,12,part_time,0,2,10,9,1995,no,10.0,100071.84,2.0
no,travel_rarely,10.0,3,3.0,female,3,2,3,single,3,no,13,none,0,4,8,7,1995,yes,10.0,53914.11,4.0
yes,unknown,4.0,3,4.0,male,3,3,1,unknown,0,none,22,part_time,0,2,8,7,1988,yes,9.0,100071.84,3.0
yes,travel_frequently,7.0,4,3.0,female,2,2,3,single,1,no,22,part_time,0,4,13,8,1990,yes,14.0,53914.11,3.0
yes,unknown,4.0,1,4.0,male,3,1,4,married,1,none,15,part_time,1,3,7,6,1998,yes,7.0,28111.13,4.0
no,unknown,10.0,4,3.0,male,2,3,3,unknown,0,yes,14,part_time,2,2,8,7,1985,yes,9.0,87400.0,3.0
no,unknown,7.0,3,3.0,female,3,3,2,unknown,0,none,17,part_time,3,3,9,7,1995,yes,10.0,100071.84,2.0
no,travel_frequently,27.0,3,3.0,female,3,3,1,married,8,no,11,part_time,1,1,8,1,1980,no,18.0,100071.84,3.0
yes,travel_frequently,2.0,3,1.0,male,3,4,4,unknown,7,no,11,full_time,3,4,18,5,1984,no,21.0,153407.07,3.0
no,travel_rarely,14.0,3,3.0,male,2,5,3,unknown,1,no,14,full_time,0,2,20,9,1983,yes,10.0,191324.62,3.0
no,travel_rarely,8.0,1,2.0,male,2,2,4,married,1,none,15,none,1,2,10,2,1994,yes,10.0,53914.11,2.0
no,unknown,7.0,4,2.0,female,3,3,3,unknown,9,no,17,full_time,0,3,18,13,1983,no,20.0,134990.0,2.0
no,travel_rarely,3.0,4,1.0,male,4,1,4,unknown,1,none,22,part_time,1,2,8,7,1997,yes,8.0,28111.13,3.0
no,travel_rarely,2.0,3,3.0,male,2,3,2,divorced,2,no,18,none,1,2,7,4,1988,yes,15.0,53914.11,4.0
no,unknown,7.0,2,4.0,female,3,5,3,divorced,3,no,18,full_time,1,6,7,7,1970,no,26.0,191324.62,3.0
no,unknown,17.0,4,3.0,male,3,2,1,unknown,3,none,15,part_time,3,2,7,7,1988,yes,15.0,53914.11,3.0
no,unknown,25.0,3,2.0,female,3,2,3,unknown,1,no,12,part_time,1,3,10,1,1990,yes,10.0,53914.11,2.0
no,unknown,6.0,4,3.0,male,1,1,3,divorced,1,no,14,part_time,1,4,7,7,1987,yes,10.0,28111.13,3.0
no,travel_rarely,7.0,4,3.0,male,3,2,3,divorced,1,none,13,part_time,3,4,10,9,1993,yes,10.0,34910.0,2.0
no,unknown,7.0,4,3.0,male,4,2,4,divorced,0,none,18,none,1,3,11,9,1963,yes,12.0,53914.11,3.0
no,unknown,2.0,2,4.0,female,3,2,3,single,4,yes,14,part_time,0,2,8,7,1991,no,10.0,53914.11,3.0
no,unknown,1.0,3,3.0,female,1,3,1,divorced,2,yes,21,full_time,1,2,7,7,1987,yes,17.0,102520.0,3.0
no,travel_rarely,14.0,3,1.0,male,3,1,1,unknown,1,none,14,none,2,3,9,8,1996,yes,10.0,53914.11,2.0
no,unknown,3.0,3,3.0,male,1,5,4,unknown,3,no,14,full_time,1,2,8,7,1980,yes,10.0,197400.0,3.0
no,travel_rarely,1.0,3,4.0,female,2,4,4,divorced,3,no,14,full_time,2,2,7,7,1994,yes,9.0,153407.07,2.0
no,unknown,7.0,4,3.0,male,3,3,4,single,6,no,12,part_time,0,6,9,4,1964,no,10.0,100071.84,2.0
no,travel_rarely,4.0,4,4.0,female,2,3,4,single,3,no,14,part_time,0,3,21,17,1980,yes,23.0,100071.84,4.0
yes,travel_rarely,15.0,3,1.0,female,3,3,4,married,1,none,11,part_time,1,2,10,5,1979,yes,10.0,100071.84,3.0
yes,unknown,7.0,3,2.0,female,3,1,3,divorced,3,yes,13,none,2,2,7,7,1994,yes,10.0,53914.11,3.0
no,travel_rarely,8.0,3,3.0,male,4,2,4,married,1,none,15,full_time,2,4,10,8,1991,no,10.0,62090.0,4.0
no,travel_rarely,10.0,4,4.0,female,3,3,3,married,3,no,12,part_time,0,0,7,7,1987,yes,10.0,70940.0,3.0
yes,unknown,5.0,3,2.0,male,3,3,2,single,9,yes,19,part_time,0,2,8,7,1971,yes,10.0,100071.84,2.0
no,travel_rarely,7.0,2,1.0,male,3,2,3,single,0,none,11,none,0,6,8,7,1984,yes,10.0,45340.0,3.0
no,unknown,9.0,3,4.0,male,3,3,4,unknown,0,none,11,part_time,1,0,9,6,1989,yes,10.0,85000.0,2.0
no,unknown,2.0,2,2.0,female,3,2,1,unknown,3,none,15,none,1,3,7,7,1985,yes,11.0,53914.11,3.0
no,travel_frequently,7.0,3,3.0,female,4,2,1,married,2,no,16,part_time,1,2,15,13,1987,yes,10.0,46390.0,2.0
no,unknown,1.0,3,4.0,female,2,2,4,unknown,0,no,12,part_time,1,0,9,0,1988,no,10.0,53630.0,3.0
yes,unknown,13.0,4,1.0,male,4,4,3,unknown,6,none,17,full_time,0,2,19,8,1968,yes,10.0,153407.07,2.0
no,unknown,29.0,3,2.0,male,3,2,3,unknown,4,none,13,part_time,2,1,8,7,1989,no,10.0,53914.11,3.0
no,unknown,6.0,3,1.0,female,2,2,3,single,1,yes,14,part_time,0,3,20,8,1980,no,20.0,40810.0,1.0
no,travel_rarely,10.0,3,3.0,female,3,4,1,married,0,none,14,full_time,1,5,20,9,1981,no,21.0,153407.07,3.0
no,travel_rarely,7.0,3,3.0,male,4,1,1,single,0,no,12,full_time,0,2,7,7,1997,yes,8.0,35780.0,3.0
