age,employee_turnover,business_travel_frequency,daily_rate,distance_from_home_km,education_level,education_field,remove_column,employee_id,environmental_satisfaction_level,gender,hourly_rate,job_involvement_level,job_level,job_role,job_satisfaction_level,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,percent_salary_hike,relationship_satisfaction_level,stock_option_level,training_sessions_last_year,years_at_company,years_since_last_promotion,years_with_current_manager,birth_year,overtime_hours,performance_rating,standard_work_hours,total_years_worked,work_life_balance,same_as_monthly_income,annual_salary,remote_work
53,no,nan,1973.98,7.0,2,medical,1,395,4.0,female,,3,5,manager,3,divorced,15943.72,41453.67,3,,18,2,1,6,7,4,7,1970,no,3,full_time,26,3,15943.72,191324.62,no
35,no,nan,556.26,17.0,4,life_sciences,1,396,3.0,male,,3,2,sales_executive,1,nan,,11681.39,3,,15,4,3,2,7,1,7,1988,none,3,part_time,15,3,,53914.11,yes
33,no,nan,556.26,25.0,3,medical,1,397,2.0,female,,3,2,sales_executive,3,nan,4492.84,11681.39,1,,12,1,1,3,10,0,1,1990,no,3,part_time,,2,4492.84,53914.11,yes
36,no,nan,290.04,6.0,4,life_sciences,1,398,3.0,male,,1,1,laboratory_technician,3,divorced,,6090.75,1,,14,3,1,4,7,1,7,1987,no,3,part_time,,3,,28111.13,yes
30,no,travel_rarely,360.18,7.0,4,life_sciences,1,399,3.0,male,45.02,3,2,laboratory_technician,3,divorced,2909.17,7563.83,1,,13,1,3,4,10,8,9,1993,none,,part_time,,2,2909.17,34910.0,yes
60,no,nan,538.57,,4,nan,1,400,,male,,4,2,sales_executive,4,divorced,4350.0,11310.0,0,,18,2,1,3,11,1,9,1963,none,3,none,12,3,4350.0,,yes
32,no,nan,556.26,2.0,2,life_sciences,1,401,4.0,female,69.53,3,2,research_scientist,3,single,,11681.39,4,,14,4,0,2,8,0,7,1991,yes,3,part_time,10,3,,53914.11,no
36,no,nan,1057.75,1.0,3,technical_degree,1,402,3.0,female,,1,3,manufacturing_director,1,divorced,8543.33,22212.67,2,,21,3,1,2,7,7,7,1987,yes,4,full_time,17,3,8543.33,102520.0,yes
27,no,travel_rarely,290.04,14.0,3,nan,1,403,1.0,male,,3,1,research_scientist,1,nan,2342.59,6090.75,1,,14,4,2,3,9,6,8,1996,none,3,none,,2,2342.59,,yes
43,no,nan,2036.67,3.0,3,life_sciences,1,404,3.0,male,,1,5,research_director,4,nan,16450.0,42770.0,3,,14,2,1,2,8,0,7,1980,no,3,full_time,,3,16450.0,197400.0,yes
29,no,travel_rarely,1582.77,1.0,3,nan,1,405,4.0,female,,2,4,research_director,4,divorced,,33238.2,3,,14,2,2,2,7,1,7,1994,no,3,full_time,9,2,,153407.07,yes
59,no,nan,1032.49,,4,nan,1,406,,male,,3,3,manufacturing_director,4,single,8339.32,21682.23,6,,12,4,0,6,9,5,4,1964,no,3,part_time,,2,8339.32,100071.84,no
43,no,travel_rarely,1032.49,4.0,4,marketing,1,407,4.0,female,,2,3,sales_executive,4,single,8339.32,21682.23,3,,14,4,0,3,21,15,17,1980,no,3,part_time,23,4,8339.32,100071.84,yes
44,yes,travel_rarely,1032.49,15.0,3,medical,1,408,1.0,female,129.06,3,3,healthcare_representative,4,married,8339.32,21682.23,1,,11,4,1,2,10,0,5,1979,none,3,part_time,,3,8339.32,100071.84,yes
29,yes,nan,290.04,7.0,3,technical_degree,1,409,2.0,female,,3,1,laboratory_technician,3,divorced,2342.59,6090.75,3,,13,1,2,2,7,7,7,1994,yes,3,none,10,3,2342.59,,yes
32,no,travel_rarely,640.61,8.0,3,nan,1,410,3.0,male,,4,2,sales_executive,4,married,5174.17,13452.83,1,,15,3,2,4,10,0,8,1991,none,3,full_time,,4,5174.17,62090.0,no
36,no,travel_rarely,731.92,10.0,4,technical_degree,1,411,4.0,female,,3,3,healthcare_representative,3,married,,15370.33,3,,12,1,0,0,7,1,7,1987,no,3,part_time,,3,,70940.0,yes
52,yes,nan,1032.49,5.0,3,nan,1,412,2.0,male,,3,3,sales_executive,2,single,8339.32,21682.23,9,,19,3,0,2,8,7,7,1971,yes,3,part_time,,2,8339.32,100071.84,yes
39,no,travel_rarely,467.79,,2,nan,1,413,1.0,male,,3,2,manufacturing_director,3,single,3778.33,9823.67,0,,11,1,0,6,8,1,7,1984,none,3,none,,,3778.33,45340.0,yes
34,no,nan,876.98,9.0,3,nan,1,414,4.0,male,,3,3,healthcare_representative,4,nan,7083.33,18416.67,0,,11,4,1,0,9,1,6,1989,none,,part_time,10,2,7083.33,85000.0,yes
38,no,nan,556.26,2.0,2,life_sciences,1,415,2.0,female,,3,2,sales_executive,1,nan,,11681.39,3,,15,4,1,3,7,1,7,1985,none,3,none,11,3,,53914.11,yes
36,no,travel_frequently,478.63,,3,marketing,1,416,,female,,4,2,sales_executive,1,married,3865.83,10051.17,2,,16,4,1,2,15,6,13,1987,no,3,part_time,,2,3865.83,46390.0,yes
35,no,nan,553.33,1.0,3,nan,1,417,4.0,female,,2,2,laboratory_technician,4,nan,4469.17,11619.83,0,,12,2,1,0,9,0,0,1988,no,3,part_time,10,3,4469.17,53630.0,no
55,yes,nan,1582.77,13.0,4,nan,1,418,1.0,male,,4,4,sales_executive,3,nan,12783.92,33238.2,6,,17,3,0,2,19,3,8,1968,none,3,full_time,,2,12783.92,153407.07,yes
34,no,nan,556.26,29.0,3,nan,1,419,2.0,male,,3,2,laboratory_technician,3,nan,4492.84,11681.39,4,,13,1,2,1,8,7,7,1989,none,3,part_time,10,3,4492.84,53914.11,no
43,no,nan,421.06,6.0,3,medical,1,420,1.0,female,,2,2,research_scientist,3,single,3400.83,8842.17,1,,14,1,0,3,20,1,8,1980,yes,3,part_time,20,1,3400.83,40810.0,no
42,no,travel_rarely,1582.77,10.0,3,human_resources,1,421,3.0,female,,3,4,manager,1,married,12783.92,33238.2,0,,14,3,1,5,20,0,9,1981,none,3,full_time,21,3,12783.92,153407.07,no
26,no,travel_rarely,369.16,7.0,3,nan,1,422,3.0,male,,4,1,laboratory_technician,1,single,,7752.33,0,,12,4,0,2,7,0,7,1997,no,3,full_time,8,3,,35780.0,yes
29,yes,nan,1032.49,14.0,1,other,1,423,3.0,female,,3,3,healthcare_representative,4,single,8339.32,21682.23,0,,12,1,0,1,8,7,7,1994,yes,3,part_time,,3,8339.32,100071.84,yes
54,no,nan,1787.81,1.0,3,nan,1,424,4.0,female,223.48,3,4,research_director,4,nan,,37544.0,6,,19,4,0,3,20,12,7,1969,none,3,full_time,29,2,,173280.0,no
55,no,nan,1582.77,1.0,4,nan,1,425,2.0,male,,4,4,research_director,4,divorced,12783.92,33238.2,2,,13,4,2,4,7,0,0,1968,no,3,full_time,31,4,12783.92,153407.07,yes
40,no,non_travel,556.26,9.0,4,other,1,426,3.0,male,,3,2,laboratory_technician,3,nan,4492.84,11681.39,3,,11,3,2,2,8,0,7,1983,no,3,part_time,11,,4492.84,53914.11,yes
31,no,nan,1113.56,8.0,2,nan,1,427,1.0,male,,3,3,sales_executive,4,divorced,8994.17,23384.83,1,,18,1,1,5,13,9,9,1992,none,,full_time,13,3,8994.17,107930.0,yes
46,yes,nan,1032.49,9.0,3,marketing,1,428,1.0,male,,3,3,sales_executive,4,divorced,8339.32,21682.23,4,,11,1,1,1,7,4,3,1977,no,3,none,28,4,8339.32,,yes
45,no,travel_rarely,1119.55,20.0,3,medical,1,429,2.0,male,,1,3,healthcare_representative,1,nan,9042.5,23510.5,2,,18,2,1,2,7,0,7,1978,yes,3,full_time,,3,9042.5,108510.0,no
49,no,travel_rarely,1079.83,7.0,4,life_sciences,1,430,3.0,male,134.98,3,3,healthcare_representative,2,divorced,,22676.33,3,,14,2,2,3,8,0,7,1974,none,3,full_time,29,3,,104660.0,no
29,no,travel_rarely,556.26,19.0,3,nan,1,431,3.0,male,69.53,2,2,sales_executive,3,nan,4492.84,11681.39,1,,14,3,2,3,10,0,4,1994,none,3,part_time,10,3,4492.84,53914.11,yes
29,yes,nan,243.7,1.0,4,technical_degree,1,432,1.0,male,,2,1,research_scientist,1,single,,5117.67,6,,13,3,0,2,9,0,7,1994,no,3,part_time,,1,,23620.0,yes
29,no,nan,556.26,8.0,1,other,1,433,3.0,female,,1,2,healthcare_representative,1,nan,,11681.39,3,,13,3,1,3,7,0,7,1994,no,3,part_time,9,3,,53914.11,yes
40,no,travel_rarely,1582.77,6.0,2,nan,1,434,3.0,male,197.85,3,4,manager,4,single,12783.92,33238.2,1,,21,4,0,2,21,7,7,1983,yes,4,full_time,21,3,12783.92,153407.07,yes
48,no,nan,664.34,16.0,4,life_sciences,1,435,3.0,female,,3,2,sales_executive,3,divorced,,13951.17,8,,14,3,1,2,8,7,7,1975,no,3,full_time,18,,,64390.0,yes
53,yes,nan,1032.49,2.0,5,nan,1,436,3.0,female,,2,3,manufacturing_director,4,married,,21682.23,0,,16,2,1,4,33,1,9,1970,none,3,part_time,,3,,100071.84,yes
44,no,nan,1973.98,7.0,3,medical,1,437,2.0,female,,3,5,research_director,4,nan,,41453.67,0,,14,4,1,4,22,1,10,1979,yes,,none,,2,,191324.62,no
45,no,nan,595.21,5.0,5,nan,1,438,3.0,female,74.4,1,2,laboratory_technician,1,nan,,12499.5,1,,14,1,0,3,10,1,4,1978,none,3,full_time,10,3,,57690.0,no
45,no,non_travel,452.42,26.0,3,marketing,1,439,1.0,male,,2,2,sales_executive,1,nan,3654.17,9500.83,1,,15,1,1,2,10,4,5,1978,none,,none,10,,3654.17,,no
34,no,travel_frequently,556.26,10.0,4,nan,1,440,3.0,male,,4,2,manufacturing_director,4,nan,4492.84,11681.39,1,,13,1,1,3,9,7,2,1989,none,3,part_time,9,,4492.84,53914.11,yes
39,no,nan,556.26,10.0,5,medical,1,441,2.0,male,,3,2,manufacturing_director,1,nan,4492.84,11681.39,2,,13,4,3,3,7,7,7,1984,none,3,none,,3,4492.84,,no
27,no,nan,419.51,,3,nan,1,442,,male,,2,1,laboratory_technician,1,divorced,3388.33,8809.67,1,,11,1,2,3,7,0,7,1996,no,3,full_time,7,3,3388.33,40660.0,yes
45,no,travel_rarely,556.26,2.0,2,nan,1,443,4.0,female,,2,2,manufacturing_director,4,divorced,4492.84,11681.39,1,,19,1,2,3,10,3,9,1978,none,3,none,10,3,4492.84,,yes
44,no,nan,556.26,1.0,5,nan,1,444,1.0,male,,3,2,human_resources,4,married,4492.84,11681.39,4,,11,3,0,3,10,0,2,1979,yes,3,none,14,3,4492.84,,yes
25,no,nan,537.13,2.0,1,life_sciences,1,445,4.0,male,67.14,4,2,manufacturing_director,3,divorced,4338.33,11279.67,1,,17,3,2,6,7,0,7,1998,none,3,part_time,7,3,4338.33,52060.0,no
49,no,nan,1582.77,1.0,3,nan,1,446,3.0,male,,3,4,manager,3,single,12783.92,33238.2,4,,14,1,0,2,8,0,0,1974,none,3,full_time,23,3,12783.92,153407.07,yes
48,yes,travel_frequently,273.93,7.0,2,nan,1,447,4.0,female,,3,1,sales_representative,3,nan,2212.5,5752.5,2,,11,3,2,3,9,7,7,1975,none,,none,19,3,2212.5,,no
26,no,nan,265.16,7.0,3,medical,1,448,4.0,male,,3,1,laboratory_technician,4,nan,2141.67,5568.33,1,,20,3,0,5,7,5,7,1997,no,4,part_time,7,3,2141.67,25700.0,yes
44,no,travel_rarely,1032.49,2.0,3,life_sciences,1,449,3.0,female,129.06,4,3,healthcare_representative,4,nan,8339.32,21682.23,1,,19,2,1,2,8,6,7,1979,none,,part_time,,3,8339.32,100071.84,yes
36,no,nan,464.49,2.0,4,nan,1,450,3.0,female,58.06,3,2,sales_representative,4,single,3751.67,9754.33,3,,15,3,0,2,13,6,7,1987,none,,part_time,17,2,3751.67,45020.0,yes
46,no,nan,556.26,13.0,4,nan,1,451,3.0,male,69.53,3,2,healthcare_representative,2,single,4492.84,11681.39,6,,14,4,0,3,10,0,9,1977,no,3,part_time,19,3,4492.84,53914.11,yes
35,no,nan,556.26,27.0,4,life_sciences,1,452,4.0,male,,3,2,manufacturing_director,3,married,4492.84,11681.39,2,,16,2,1,3,7,0,7,1988,none,3,part_time,17,3,4492.84,53914.11,yes
30,no,travel_frequently,512.57,2.0,4,nan,1,453,4.0,female,,2,1,research_scientist,1,nan,4140.0,10764.0,0,,16,4,0,2,9,0,7,1993,none,3,none,10,,4140.0,49680.0,no
30,no,nan,1032.49,15.0,2,marketing,1,454,3.0,male,,2,3,sales_executive,1,nan,8339.32,21682.23,2,,11,1,1,2,7,1,7,1993,no,3,part_time,,3,8339.32,100071.84,yes
33,no,non_travel,531.04,2.0,3,marketing,1,455,4.0,female,,3,2,sales_executive,2,nan,4289.17,11151.83,8,,15,4,0,2,11,1,7,1990,no,3,part_time,13,2,4289.17,51470.0,yes
32,no,nan,280.43,5.0,4,nan,1,456,2.0,male,35.05,3,1,research_scientist,2,single,2265.0,5889.0,2,,14,2,0,3,7,0,7,1991,no,3,part_time,12,3,2265.0,27180.0,yes
43,no,travel_rarely,365.13,2.0,3,life_sciences,1,457,2.0,male,,3,1,human_resources,4,nan,2949.17,7667.83,0,,13,2,0,5,9,1,8,1980,no,3,none,,3,2949.17,,no
31,no,travel_rarely,564.16,29.0,4,marketing,1,458,1.0,female,,2,2,sales_executive,4,nan,4556.67,11847.33,1,,14,1,2,3,12,5,7,1992,none,3,full_time,,3,4556.67,54680.0,yes
35,yes,nan,599.75,27.0,3,nan,1,459,3.0,male,,3,2,sales_executive,4,nan,4844.17,12594.83,1,,18,4,0,2,10,7,7,1988,none,3,none,,3,4844.17,,no
35,no,non_travel,556.26,2.0,2,medical,1,460,2.0,male,,3,2,manufacturing_director,4,divorced,4492.84,11681.39,2,,14,3,1,6,7,1,7,1988,no,3,none,15,3,4492.84,53914.11,no
30,no,nan,997.39,10.0,3,medical,1,461,1.0,female,,3,3,manufacturing_director,3,single,8055.83,20945.17,9,,14,2,0,3,7,0,2,1993,no,3,part_time,9,3,8055.83,96670.0,no
46,yes,travel_rarely,556.26,,2,medical,1,462,4.0,female,,3,2,healthcare_representative,2,married,4492.84,11681.39,4,,22,4,1,2,9,3,7,1977,no,4,none,13,4,4492.84,,no
45,no,non_travel,531.76,2.0,4,nan,1,463,3.0,female,,3,2,sales_executive,3,married,,11167.0,4,,22,2,2,3,8,5,7,1978,none,4,part_time,10,4,,51540.0,no
43,no,travel_frequently,585.52,2.0,4,life_sciences,1,464,1.0,male,73.19,3,2,sales_executive,4,married,4729.17,12295.83,1,,20,3,1,5,7,7,7,1980,none,4,full_time,7,3,4729.17,56750.0,no
46,yes,nan,754.62,10.0,3,life_sciences,1,465,3.0,female,,3,3,sales_executive,2,nan,6095.0,15847.0,5,,21,3,3,2,8,0,7,1977,none,4,part_time,14,3,6095.0,73140.0,yes
40,no,travel_rarely,1582.77,1.0,4,nan,1,466,1.0,male,,3,4,manager,1,nan,12783.92,33238.2,2,,11,1,1,3,19,11,16,1983,none,3,none,22,,12783.92,,yes
27,no,travel_rarely,556.26,2.0,2,nan,1,467,1.0,female,,4,2,sales_executive,3,single,4492.84,11681.39,0,,14,2,0,5,8,0,7,1996,no,3,part_time,9,2,4492.84,53914.11,no
42,no,nan,1032.49,6.0,3,medical,1,468,3.0,male,,3,3,research_director,1,married,8339.32,21682.23,9,,13,2,1,3,13,5,7,1981,no,3,none,18,4,8339.32,,yes
26,no,travel_frequently,290.04,6.0,3,other,1,469,3.0,male,36.25,4,1,laboratory_technician,4,married,2342.59,6090.75,0,,18,1,1,3,7,7,7,1997,no,3,part_time,8,3,2342.59,28111.13,yes
28,no,travel_frequently,556.26,1.0,2,life_sciences,1,470,3.0,male,69.53,2,2,sales_executive,4,married,,11681.39,1,,12,3,1,2,7,0,7,1995,none,3,part_time,7,3,,53914.11,yes
47,no,nan,556.26,14.0,4,nan,1,471,3.0,male,69.53,3,2,research_scientist,2,married,4492.84,11681.39,8,,18,3,1,4,8,1,7,1976,none,3,part_time,,4,4492.84,53914.11,no
34,no,travel_rarely,1032.49,13.0,4,medical,1,472,4.0,male,,3,3,sales_executive,3,divorced,8339.32,21682.23,1,,18,3,1,2,8,1,1,1989,no,3,part_time,9,2,8339.32,100071.84,yes
26,no,nan,290.04,1.0,3,medical,1,473,3.0,male,,3,1,laboratory_technician,1,single,2342.59,6090.75,0,,13,4,0,6,7,7,6,1997,no,3,part_time,8,,2342.59,28111.13,yes
27,no,travel_rarely,556.26,9.0,3,nan,1,474,4.0,male,,3,2,sales_executive,4,nan,,11681.39,1,,14,1,0,5,7,0,7,1996,none,3,part_time,,,,53914.11,no
31,yes,travel_frequently,556.26,26.0,4,marketing,1,475,1.0,male,,3,2,sales_executive,4,nan,4492.84,11681.39,1,,11,3,0,4,10,0,8,1992,yes,3,part_time,10,3,4492.84,53914.11,yes
33,no,travel_frequently,556.26,7.0,2,life_sciences,1,476,4.0,male,,3,2,healthcare_representative,3,divorced,4492.84,11681.39,1,,20,3,3,2,9,2,8,1990,none,,none,9,3,4492.84,,yes
31,no,nan,1032.49,10.0,3,nan,1,477,3.0,female,,3,3,research_director,3,married,8339.32,21682.23,4,,20,3,1,2,11,4,8,1992,no,4,part_time,13,4,8339.32,100071.84,yes
35,no,nan,525.98,9.0,4,medical,1,478,2.0,male,,3,2,research_scientist,3,nan,,11045.67,1,,19,2,0,5,10,0,8,1988,no,3,part_time,10,3,,50980.0,yes
33,no,travel_rarely,556.26,15.0,2,nan,1,479,2.0,female,,3,2,healthcare_representative,4,married,4492.84,11681.39,0,,13,1,1,6,9,8,1,1990,yes,,part_time,,3,4492.84,53914.11,yes
39,no,travel_rarely,556.26,24.0,1,life_sciences,1,480,1.0,male,,3,2,research_scientist,4,single,4492.84,11681.39,7,,13,1,0,2,7,1,7,1984,no,,none,,3,4492.84,,no
36,no,travel_rarely,1032.49,,3,nan,1,481,,female,129.06,2,3,sales_executive,4,married,,21682.23,0,,19,3,2,2,9,3,4,1987,no,3,part_time,10,3,,100071.84,yes
41,no,travel_rarely,1400.08,28.0,4,life_sciences,1,482,1.0,female,,2,4,manufacturing_director,2,married,11308.33,29401.67,0,,23,3,1,3,20,0,10,1982,no,,full_time,21,3,11308.33,135700.0,yes
34,no,nan,692.51,28.0,3,marketing,1,483,4.0,female,,2,2,sales_executive,3,married,,14542.67,1,,21,4,2,2,8,1,7,1989,no,4,full_time,8,3,,67120.0,no
38,no,travel_rarely,556.26,10.0,2,nan,1,484,1.0,female,,3,2,sales_executive,4,married,4492.84,11681.39,1,,11,3,1,1,10,1,9,1985,no,3,none,10,3,4492.84,,yes
39,no,travel_rarely,1030.82,6.0,1,nan,1,485,4.0,male,,2,3,healthcare_representative,1,nan,8325.83,21647.17,4,,15,1,1,5,7,1,7,1984,none,3,part_time,,3,8325.83,99910.0,yes
34,no,travel_rarely,1032.49,7.0,4,nan,1,486,1.0,female,,3,3,research_director,2,single,,21682.23,0,,11,3,0,4,12,2,11,1989,no,,part_time,,3,,100071.84,no
44,no,travel_rarely,1057.33,7.0,4,medical,1,487,1.0,female,,2,3,healthcare_representative,4,married,8540.0,22204.0,3,,14,4,1,4,22,5,17,1979,none,,full_time,24,3,8540.0,102480.0,yes
46,no,nan,556.26,5.0,4,nan,1,488,1.0,male,,3,2,sales_executive,4,single,4492.84,11681.39,4,,21,3,0,4,9,0,8,1977,none,,part_time,14,3,4492.84,53914.11,yes
41,no,travel_frequently,1582.77,10.0,3,life_sciences,1,489,4.0,male,197.85,2,4,manager,1,divorced,,33238.2,4,,13,2,1,2,7,7,7,1982,none,3,full_time,,2,,153407.07,no
39,no,nan,1128.52,2.0,4,nan,1,490,3.0,female,,3,3,healthcare_representative,3,single,9115.0,23699.0,0,,25,4,0,1,19,11,8,1984,no,4,none,20,3,9115.0,,no
42,no,travel_rarely,267.53,2.0,3,medical,1,491,4.0,female,,2,1,laboratory_technician,1,divorced,2160.83,5618.17,0,,11,3,1,4,9,7,8,1981,yes,3,part_time,10,3,2160.83,25930.0,yes
33,no,travel_frequently,1225.51,5.0,4,nan,1,492,4.0,female,,3,3,manager,2,married,9898.33,25735.67,6,,11,2,2,2,10,8,8,1990,none,,none,12,3,9898.33,,yes
35,no,travel_rarely,835.2,5.0,4,technical_degree,1,493,3.0,male,,3,3,manufacturing_director,2,single,6745.83,17539.17,0,,13,4,0,5,16,0,13,1988,no,3,part_time,17,3,6745.83,80950.0,yes
33,yes,travel_rarely,1032.49,15.0,1,medical,1,494,2.0,male,,3,3,manager,3,married,,21682.23,7,,12,4,0,2,7,7,7,1990,none,3,part_time,15,4,,100071.84,yes
40,no,travel_rarely,1582.77,6.0,3,life_sciences,1,495,2.0,female,,3,4,manufacturing_director,3,single,,33238.2,7,,15,3,0,3,20,5,13,1983,no,3,full_time,22,3,,153407.07,no
41,no,travel_rarely,1973.98,10.0,4,human_resources,1,496,2.0,male,,2,5,manager,4,divorced,15943.72,41453.67,3,,15,2,3,2,21,12,6,1982,no,3,full_time,23,2,15943.72,191324.62,no
27,no,nan,556.26,7.0,3,nan,1,497,4.0,female,,2,2,healthcare_representative,1,nan,,11681.39,8,,19,1,0,2,7,0,7,1996,no,3,part_time,,1,,53914.11,no
52,no,travel_rarely,1739.11,3.0,4,marketing,1,498,3.0,male,,2,4,manager,1,nan,14046.67,36521.33,1,,11,1,0,3,34,1,16,1971,none,3,full_time,,4,14046.67,168560.0,yes
51,no,travel_rarely,1582.77,26.0,4,marketing,1,499,1.0,female,197.85,3,4,manager,3,married,12783.92,33238.2,2,,14,3,1,2,20,4,17,1972,no,3,full_time,,2,12783.92,153407.07,no
47,no,travel_rarely,468.1,2.0,2,marketing,1,500,3.0,female,,3,2,sales_executive,4,nan,3780.83,9830.17,0,,22,1,1,2,7,7,7,1976,none,4,part_time,8,3,3780.83,45370.0,yes
50,no,non_travel,1849.3,2.0,4,nan,1,501,1.0,male,,3,4,manager,1,divorced,,38835.33,1,,11,4,1,3,31,14,7,1973,none,3,full_time,31,3,,179240.0,no
35,no,travel_rarely,414.14,21.0,1,life_sciences,1,502,4.0,female,,3,2,healthcare_representative,4,married,3345.0,8697.0,1,,25,4,1,2,10,0,7,1988,none,4,part_time,10,1,3345.0,40140.0,yes
39,no,travel_rarely,1314.65,1.0,1,nan,1,503,4.0,female,164.33,2,4,manufacturing_director,4,married,10618.33,27607.67,1,,16,3,1,3,21,11,8,1984,no,3,full_time,,3,10618.33,127420.0,yes
39,no,travel_frequently,1032.49,22.0,3,medical,1,504,4.0,female,,3,3,manufacturing_director,1,single,8339.32,21682.23,1,,13,3,0,2,21,2,8,1984,none,3,part_time,,3,8339.32,100071.84,no
41,no,nan,348.32,7.0,2,nan,1,505,2.0,female,43.54,4,1,research_scientist,3,nan,,7314.67,1,,13,3,0,3,10,0,8,1982,no,3,full_time,,3,,33760.0,no
44,yes,nan,1081.48,1.0,2,medical,1,506,2.0,male,,2,3,human_resources,1,married,8735.0,22711.0,9,,14,4,1,1,20,3,6,1979,no,,full_time,24,3,8735.0,104820.0,yes
42,no,nan,1582.77,2.0,2,medical,1,507,4.0,male,,3,4,manager,1,nan,12783.92,33238.2,0,,17,4,1,3,22,13,7,1981,no,3,none,23,3,12783.92,,no
52,no,travel_rarely,1032.49,7.0,4,life_sciences,1,508,2.0,male,,3,3,healthcare_representative,2,single,,21682.23,7,,19,4,0,4,8,4,0,1971,none,3,part_time,18,,,100071.84,yes
38,no,nan,290.04,1.0,3,nan,1,509,3.0,male,36.25,4,1,human_resources,3,nan,2342.59,6090.75,1,,13,4,1,2,7,5,0,1985,no,3,part_time,7,4,2342.59,28111.13,yes
46,no,nan,290.04,1.0,2,life_sciences,1,510,4.0,female,36.25,3,1,human_resources,1,nan,,6090.75,6,,12,3,0,3,7,5,7,1977,none,3,part_time,10,4,,28111.13,yes
35,no,nan,438.39,4.0,4,life_sciences,1,511,3.0,male,54.8,3,2,research_scientist,3,single,3540.83,9206.17,1,,11,2,0,3,9,1,1,1988,none,3,part_time,,3,3540.83,42490.0,no
28,no,travel_rarely,675.69,29.0,1,life_sciences,1,512,3.0,male,,1,2,manufacturing_director,2,married,5457.5,14189.5,1,,14,2,2,2,8,1,7,1995,none,,none,8,2,5457.5,,yes
44,no,nan,1582.77,28.0,3,life_sciences,1,513,4.0,male,,3,4,research_director,1,married,12783.92,33238.2,3,,13,3,1,1,20,14,17,1979,no,3,none,,4,12783.92,,yes
50,no,nan,1486.85,22.0,5,nan,1,514,3.0,male,,1,4,research_director,4,nan,12009.17,31223.83,1,,13,4,0,2,32,13,9,1973,none,3,none,,3,12009.17,,no
55,no,travel_rarely,2020.78,,5,marketing,1,515,3.0,male,252.6,2,5,manager,4,nan,,42436.33,1,,21,3,1,3,36,2,13,1968,no,4,full_time,36,3,,195860.0,yes
39,no,nan,849.85,6.0,3,nan,1,516,4.0,male,,4,3,sales_executive,3,married,6864.17,17846.83,2,,11,1,1,3,7,7,6,1984,no,3,part_time,11,3,6864.17,82370.0,yes
49,no,nan,331.29,,4,nan,1,517,,female,,3,1,laboratory_technician,1,nan,2675.83,6957.17,1,,14,4,1,3,9,1,4,1974,none,3,none,10,2,2675.83,,yes
45,no,nan,1723.43,28.0,2,technical_degree,1,518,4.0,female,,2,4,research_director,2,single,13920.0,36192.0,1,,11,3,0,2,21,8,6,1978,none,,none,21,3,13920.0,,no
46,no,nan,1032.49,2.0,3,nan,1,519,3.0,male,,3,3,sales_executive,4,nan,8339.32,21682.23,4,,12,2,1,5,10,0,3,1977,none,3,part_time,,2,8339.32,100071.84,no
27,no,nan,492.56,15.0,3,nan,1,520,4.0,female,,2,1,research_scientist,1,married,,10343.67,0,,19,4,1,2,7,7,3,1996,no,3,full_time,,,,47740.0,no
42,no,travel_rarely,1973.98,2.0,3,nan,1,521,1.0,male,,3,5,manager,3,married,15943.72,41453.67,5,,11,1,0,2,22,4,14,1981,none,3,none,24,2,15943.72,,yes
49,no,nan,556.26,2.0,3,nan,1,522,4.0,male,,2,2,sales_executive,2,married,,11681.39,2,,14,4,0,3,9,0,8,1974,none,3,part_time,17,2,,53914.11,yes
29,no,travel_rarely,556.26,15.0,2,life_sciences,1,523,4.0,female,,2,2,laboratory_technician,3,single,,11681.39,0,,12,4,0,3,9,0,8,1994,yes,3,part_time,10,3,,53914.11,yes
34,no,non_travel,471.3,,4,marketing,1,524,,male,,3,2,sales_executive,3,nan,3806.67,9897.33,0,,20,3,0,2,9,8,7,1989,no,4,part_time,,3,3806.67,45680.0,no
37,no,nan,618.33,1.0,4,nan,1,525,1.0,male,,2,2,manufacturing_director,3,divorced,4994.17,12984.83,1,,18,3,1,2,7,0,7,1986,no,3,none,,,4994.17,59930.0,no
36,no,nan,670.53,11.0,3,nan,1,526,2.0,male,83.82,2,2,manufacturing_director,2,single,5415.83,14081.17,1,,13,3,0,3,6,0,3,1987,no,3,full_time,6,3,5415.83,64990.0,yes
45,no,nan,356.16,29.0,3,nan,1,527,3.0,male,,3,1,research_scientist,4,single,,7479.33,5,,13,2,0,2,6,0,3,1978,none,3,full_time,9,2,,34520.0,yes
29,no,travel_rarely,290.04,15.0,3,nan,1,528,3.0,male,,3,1,research_scientist,4,nan,,6090.75,1,,19,1,0,1,6,1,5,1994,no,3,part_time,6,3,,28111.13,no
26,no,nan,660.01,1.0,3,nan,1,529,3.0,female,,3,2,manufacturing_director,2,nan,5330.83,13860.17,1,,20,1,1,6,6,1,4,1997,no,4,full_time,6,1,5330.83,63970.0,no
28,no,nan,556.26,9.0,4,life_sciences,1,530,2.0,male,,3,2,sales_executive,4,single,,11681.39,1,,16,4,0,1,7,0,7,1995,no,3,part_time,,3,,53914.11,yes
42,no,travel_frequently,556.26,,4,technical_degree,1,531,4.0,female,,2,2,healthcare_representative,4,married,,11681.39,0,,11,4,3,4,6,0,4,1981,no,3,none,7,4,,53914.11,yes
